feature,positiveCount,negativeCount,aggregatedAverage,positiveProportion,negativeProportion
daily streaks,3,2,0.2,0.6,0.4
points system,0,0,0.0,,
progress bar,1,0,1.0,1.0,0.0
strike habit/competition,3,0,1.0,1.0,0.0
social discovery,1,1,0.0,0.5,0.5
challenges,42,15,0.473684210526316,0.7368421052631579,0.26315789473684215
leaderboard/competition,4,1,0.6,0.8,0.19999999999999996
boosters,53,10,0.682539682539683,0.8412698412698413,0.15873015873015872
virtual economy,0,0,0.0,,
torture breaks,11,12,-0.0434782608695652,0.4782608695652174,0.5217391304347826
visual grave,0,0,0.0,,
high five,0,0,0.0,,
last mile drive,0,0,0.0,,
anticipation parade,0,0,0.0,,
avatar,0,0,0.0,,
win states,0,0,0.0,,
voting,2,4,-0.333333333333333,0.3333333333333333,0.6666666666666667
crowning,1,0,1.0,1.0,0.0
status quo sloth,40,20,0.333333333333333,0.6666666666666666,0.33333333333333337
