event,time
Parte 1,20:53:40
Pedagogical Page Open Time,20:53:40
Pedagogical Page Close Time,20:53:46
Multiplechoice Page Open Time,20:53:46
Multiplechoice Page Close Time,20:53:51
Parte 2,20:53:51
Pedagogical Page Open Time,20:53:51
Pedagogical Page Close Time,20:53:51
Pedagogical2 Page Open Time,20:53:51
Pedagogical2 Page Close Time,20:53:55
Parte 3,20:53:55
Pedagogical Page Open Time,20:53:55
Pedagogical Page Close Time,20:53:56
Multiplechoice Page Open Time,20:53:56
Multiplechoice Page Close Time,20:54:04
Parte 4,20:54:04
Draganddrop Page Open Time,20:54:04
Draganddrop Page Close Time,20:54:10
Pedagogical Page Open Time,20:54:10
Pedagogical Page Close Time,20:54:11
Parte 5,20:54:11
Multiplechoice Page Open Time,20:54:11
Multiplechoice Page Close Time,20:54:17
Pedagogical Page Open Time,20:54:17
Pedagogical Page Close Time,20:54:18
Parte 6,20:54:18
Pedagogical Page Open Time,20:54:18
Pedagogical Page Close Time,20:54:19

Parte 1,19:38:30
Pedagogical Page Open Time,19:38:30
Pedagogical Page Close Time,19:38:33
Multiplechoice Page Open Time,19:38:33
Multiplechoice Page Close Time,19:38:37
Parte 2,19:38:37
Pedagogical Page Open Time,19:38:37
Pedagogical Page Close Time,19:38:38
Pedagogical2 Page Open Time,19:38:38
Pedagogical2 Page Close Time,19:38:40
Parte 3,19:38:40
Pedagogical Page Open Time,19:38:40
Pedagogical Page Close Time,19:38:41
Multiplechoice Page Open Time,19:38:41
Multiplechoice Page Close Time,19:38:47
Parte 4,19:38:47
Draganddrop Page Open Time,19:38:47
Draganddrop Page Close Time,19:38:51
Parte 3,19:38:51
Multiplechoice Page Open Time,19:38:51
Multiplechoice Page Close Time,19:38:52
Parte 4,19:38:52
Draganddrop Page Open Time,19:38:52
Draganddrop Page Close Time,20:41:51
Pedagogical Page Open Time,20:41:51
Pedagogical Page Close Time,20:41:53
Parte 5,20:41:53
Multiplechoice Page Open Time,20:41:53
Multiplechoice Page Close Time,20:42:00
Pedagogical Page Open Time,20:42:00
Pedagogical Page Close Time,20:42:04
Parte 6,20:42:04
Pedagogical Page Open Time,20:42:04
Pedagogical Page Close Time,20:42:06

Parte 1,15:28:14
Pedagogical Page Open Time,15:28:14
Pedagogical Page Close Time,15:28:15
Multiplechoice Page Open Time,15:28:15
Multiplechoice Page Close Time,15:28:19
Parte 2,15:28:19
Pedagogical Page Open Time,15:28:19
Pedagogical Page Close Time,15:28:20
Pedagogical2 Page Open Time,15:28:20
Pedagogical2 Page Close Time,15:28:21
Parte 3,15:28:21
Pedagogical Page Open Time,15:28:21
Pedagogical Page Close Time,15:28:21
Multiplechoice Page Open Time,15:28:21
Multiplechoice Page Close Time,15:28:26
Parte 4,15:28:26
Draganddrop Page Open Time,15:28:26
Draganddrop Page Close Time,15:28:32
Pedagogical Page Open Time,15:28:32
Pedagogical Page Close Time,15:28:32
Parte 5,15:28:32
Multiplechoice Page Open Time,15:28:32
Multiplechoice Page Close Time,15:28:37
Pedagogical Page Open Time,15:28:37
Pedagogical Page Close Time,15:28:38
Parte 6,15:28:38
Pedagogical Page Open Time,15:28:38
Pedagogical Page Close Time,15:28:38

Parte 1,15:32:22
